movie_name,biehn_scale_rating,biehn_yes_or_no,budget,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score,primary_genre_Comedy,primary_genre_Crime,primary_genre_Action,primary_genre_Drama,primary_genre_Adventure,primary_genre_Documentary,primary_genre_Family,primary_genre_Western,primary_genre_Horror,primary_genre_Mystery,primary_genre_Thriller,primary_genre_War,primary_genre_Science Fiction,primary_genre_Music,primary_genre_Animation,primary_genre_nan,primary_genre_Fantasy,secondary_genre_nan,secondary_genre_Drama,secondary_genre_Adventure,secondary_genre_Science Fiction,secondary_genre_Action,secondary_genre_Family,secondary_genre_History,secondary_genre_Animation,secondary_genre_Crime,secondary_genre_Thriller,secondary_genre_Horror,secondary_genre_Fantasy,secondary_genre_Mystery,secondary_genre_Comedy,secondary_genre_Romance,secondary_genre_Music,movie_age
Hush,7.0,1,0,0,82,7.3,572,6.9,16710.0,2019.0,88,50.0,59.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0
The Conjuring 2,6.5,1,40000000,320392818,134,7.3,6433,7.3,252663.0,2016.0,80,65.0,81.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0
Annabelle Creation,7.5,1,15000000,306515884,109,6.6,4538,6.5,125025.0,2017.0,71,62.0,67.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
The Witch,8.0,1,4000000,40423945,92,6.8,5095,6.9,227960.0,2015.0,90,83.0,59.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0
The Ritual,6.0,0,10000000,1785977,94,6.2,2108,6.3,89108.0,2017.0,74,57.0,60.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4.0
Unbreakable,9.0,1,75000000,248118121,106,7.1,7449,7.3,403363.0,2000.0,70,62.0,59.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
Patient Zero,5.0,0,0,0,87,5.2,262,4.5,8615.0,2018.0,14,50.0,25.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0
Deadpool 2,8.0,1,110000000,786365638,119,7.5,13958,7.7,526683.0,2018.0,84,66.0,85.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
Raw,6.0,0,8500000,16209459,106,5.8,562,5.6,33263.0,1986.0,29,44.0,59.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35.0
Littlest Reich,6.5,1,0,0,90,5.7,99,5.4,3774.0,2018.0,70,52.0,59.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
Jigsaw,2.0,0,10000000,102952888,92,6.2,2837,5.8,75388.0,2017.0,32,39.0,89.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0
The Endless,5.0,0,1000000,956425,112,6.3,718,6.5,39046.0,2017.0,92,80.0,67.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.0
Happy Death Day,7.5,1,4800000,122637878,97,6.6,5002,6.6,130363.0,2017.0,72,58.0,67.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.0
Hereditary,9.5,1,10000000,80239658,127,7.2,5387,7.3,276047.0,2018.0,89,87.0,68.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
Isle of Dogs,8.0,1,62770198,64241499,101,7.9,3631,7.9,154681.0,2018.0,90,82.0,87.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.0
The Shape of Water,7.5,1,19500000,194989655,123,7.3,10198,7.3,396797.0,2017.0,92,87.0,72.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.0
Hold the Dark,5.0,1,0,0,126,5.3,727,5.6,35638.0,2018.0,71,63.0,31.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.0
