movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count,imdb_rating,imdb_votes,year,rt_critic_score,metascore,rt_audience_score
You Were Never Really Here,5.0,No,398181,tt5742374,0,Thriller,Drama,14.761,10891281,89,6.5,2110,6.8,113127.0,2017.0,89%,84,64
Outlaw King,7.5,Yes,454227,tt6679794,0,Action,History,16.894,0,122,6.8,1143,6.9,66619.0,2018.0,62%,59,67
The Christmas Chronicles,8.0,Yes,654028,tt11057644,0,Family,Fantasy,136.719,0,112,6.6,664,6.0,25407.0,2020.0,66%,51,
Bohemian Rhapsody,8.0,Yes,424694,tt1727824,52000000,Music,Drama,58.204,894027543,135,8.0,13899,7.9,494738.0,2018.0,60%,49,85
Bandersnatch,9.6,Yes,569547,tt9495224,0,Science Fiction,Mystery,11.606,0,90,6.8,3174,7.1,120741.0,2018.0,,N/A,
Bird Box,7.5,Yes,405774,tt2737304,19800000,Thriller,Drama,48.829,0,124,6.9,7965,6.6,308813.0,2018.0,64%,51,57
Polar,5.2,Yes,5255,tt0338348,165000000,Animation,Family,94.152,310634054,100,6.7,4775,6.6,189545.0,2004.0,56%,61,
Alita Battle Angel,8.6,Yes,399579,tt0437086,170000000,Action,Science Fiction,53.846,404852543,122,7.2,7064,7.3,250229.0,2019.0,61%,53,92
Triple Frontier,4.7,No,399361,tt1488606,0,Action,Thriller,24.158,0,125,6.3,2400,6.4,118837.0,2019.0,71%,61,55
The Dirt,6.9,Yes,327331,tt0800325,0,Drama,Music,18.297,0,108,7.5,891,7.0,44620.0,2019.0,,39,
The Highwaymen,3.0,No,500682,tt1860242,49000000,Crime,Drama,16.467,0,133,6.7,1516,6.9,84696.0,2019.0,58%,58,73
The Silence,0.9,No,527261,tt7315484,0,Horror,Drama,21.722,2325977,91,6.0,1118,5.3,42349.0,2019.0,29%,25,25
Avengers: Endgame,9.7,Yes,299534,tt4154796,356000000,Adventure,Science Fiction,281.824,2797800564,181,8.3,19556,8.4,963268.0,2019.0,94%,78,90
Pet Sematary,4.6,No,8913,tt0098084,11500000,Horror,,28.57,57469467,103,6.6,1565,6.6,99623.0,1989.0,51%,38,
The Perfection,6.0,Yes,529962,tt7772580,0,Horror,Thriller,12.462,0,90,6.6,999,6.2,40155.0,2018.0,71%,60,
Bad Times at the El Royale,7.4,Yes,446021,tt6628394,32000000,Thriller,Drama,16.796,31882724,141,6.8,2708,7.1,139906.0,2018.0,74%,60,73
Rocketman ,9.3,Yes,504608,tt2066051,40000000,Music,Drama,23.323,167323950,121,7.4,3558,7.3,161005.0,2019.0,,69,
Gone Baby Gone,8.0,Yes,4771,tt0452623,19000000,Crime,Drama,14.513,34619699,113,7.3,2806,7.6,264098.0,2007.0,94%,72,86
Ad Astra,6.8,Yes,419704,tt2935510,87500000,Science Fiction,Drama,13.657,132807427,123,6.1,5110,6.5,217889.0,2019.0,83%,80,40
Joker,9.6,Yes,475557,tt7286456,55000000,Crime,Thriller,128.859,1074251311,122,8.2,19110,8.4,1097649.0,2019.0,68%,59,88
El Camino,6.1,Yes,749618,tt12481806,0,Animation,Family,78.703,0,85,6.8,77,5.2,478.0,2020.0,,N/A,
Midsomer,3.2,No,749589,tt0647495,0,Crime,,1.4,0,93,6.0,2,7.5,623.0,2005.0,,N/A,
The King,7.7,Yes,44571,tt1038685,12000000,Action,Thriller,122.898,2000371,93,4.8,92,3.1,4261.0,2010.0,,N/A,
Midnight Family,6.1,Yes,566367,tt6010976,0,Documentary,,5.34,0,81,7.3,49,7.4,1697.0,2019.0,97%,81,81
The Hunt,3.5,No,514847,tt8244784,14000000,Action,Thriller,20.771,8621288,90,6.7,2052,6.5,92681.0,2020.0,57%,50,
The Invisible Man,8.1,Yes,570670,tt1051906,7000000,Thriller,Science Fiction,30.252,130234661,124,7.2,4171,7.1,198947.0,2020.0,,72,
The Platform,7.4,Yes,660295,tt2382011,0,,,2.478,0,101,7.0,3,6.3,23.0,2019.0,,N/A,
Edward Scissorhands,5.8,No,162,tt0099487,20000000,Fantasy,Drama,34.255,53000000,105,7.7,10415,7.9,466204.0,1990.0,90%,74,91
The Gentlemen,7.8,Yes,522627,tt8367814,22000000,Action,Crime,54.21,114996853,113,7.7,3724,7.8,287505.0,2019.0,,51,
Kung Fu Hustle,8.9,Yes,9470,tt0373074,20000000,Action,Comedy,27.409,101434304,99,7.4,1978,7.7,133931.0,2004.0,91%,78,89
Starship Troopers,9.4,Yes,563,tt0120201,105000000,Adventure,Action,19.669,121214377,129,7.0,3581,7.2,281615.0,1997.0,66%,51,70
