movie_name,biehn_scale_rating,biehn_yes_or_no,tmdb_id,imdb_id,budget,primary_genre,secondary_genre,tmdb_popularity,revenue,runtime,tmdb_vote_average,tmdb_vote_count
The Hunt,3.5,No,514847,tt8244784,14000000,Action,Thriller,21.047,8621288,90,6.7,2034
The Invisible Man,8.1,Yes,570670,tt1051906,7000000,Thriller,Science Fiction,36.449,130234661,124,7.2,4149
The Platform,7.4,Yes,660295,tt2382011,0,,,2.202,0,101,7.0,3
Edward Scissorhands,5.8,No,162,tt0099487,20000000,Fantasy,Drama,39.069,53000000,105,7.7,10385
The Gentlemen,7.8,Yes,522627,tt8367814,22000000,Action,Crime,31.819,114996853,113,7.7,3692
Kung Fu Hustle,8.9,Yes,9470,tt0373074,20000000,Action,Comedy,23.338,101434304,99,7.4,1969
Starship Troopers,9.4,Yes,563,tt0120201,105000000,Adventure,Action,22.829,121214377,129,7.0,3565
Signs,6.6,Yes,2675,tt0286106,72000000,Drama,Thriller,22.827,408247917,106,6.6,4278
21 Jump Street,8.0,Yes,64688,tt1232829,42000000,Action,Comedy,45.283,201585328,109,6.9,8527
Extraction,6.1,Yes,545609,tt8936646,65000000,Drama,Action,43.771,0,116,7.4,4211
A Bronx Tale,8.6,Yes,1607,tt0106489,10000000,Drama,Crime,14.924,17287898,121,7.7,1496
Jumanji,9.7,Yes,512200,tt7975244,125000000,Adventure,Comedy,107.848,800059707,123,7.0,6366
Jumanji: Welcome to the Jungle,5.9,Yes,353486,tt2283362,90000000,Adventure,Action,70.345,962102237,119,6.8,11170
Jumanji: Next Level,3.0,No,512200,tt7975244,125000000,Adventure,Comedy,107.848,800059707,123,7.0,6366
Ready or Not,4.4,No,567609,tt7798634,6000000,Horror,Thriller,30.433,57615777,95,7.0,2829
Crawl,7.5,Yes,511987,tt8364368,13500000,Thriller,Horror,44.056,89203432,88,6.3,2319
Eurovision Song Contest: The Story of Fire Saga,5.3,Yes,531454,tt8580274,0,Comedy,Music,16.267,0,123,6.4,969
The Old Guard,6.0,Yes,547016,tt7556122,70000000,Action,Fantasy,22.707,0,125,7.3,3059
Scary Stories to Tell in the Dark,6.2,Yes,417384,tt3387520,25000000,Horror,Thriller,35.608,95438172,108,6.5,1986
Palm Springs,8.9,Yes,587792,tt9484998,0,Comedy,Romance,17.405,164000,90,7.3,1860
Beverly Hills Ninja,8.6,Yes,9622,tt0118708,0,Comedy,Action,12.78,0,88,5.7,568
The Girl Next Door,7.3,No,10591,tt0265208,21000000,Comedy,Romance,38.813,31635150,110,6.7,2570
Talladega Nights: The Ballad of Ricky Bobby,8.9,Yes,9718,tt0415306,72500000,Comedy,,18.129,162966177,107,6.4,1189
Air Force One,,,9772,tt0118571,85000000,Action,Thriller,17.56,315156409,124,6.4,2181
